orig_name,taxonomic_name,genus_species,f_native,f_forb,include_plant,has_mult_taxa,is_native,is_forb
Lactuca serriola,Lactuca serriola,Lactuca serriola,n0,f1,TRUE,FALSE,FALSE,TRUE
Lactuca sp.,Lactuca spp.,Lactuca spp.,n0,f1,FALSE,FALSE,FALSE,TRUE
Lagophylla ramosissima,Lagophylla ramosissima,Lagophylla ramosissima,n1,f1,TRUE,FALSE,TRUE,TRUE
Lasthenia californica,Lasthenia californica,Lasthenia californica,n1,f1,TRUE,FALSE,TRUE,TRUE
Lasthenia californica (2020),Lasthenia californica,Lasthenia californica,n1,f1,TRUE,FALSE,TRUE,TRUE
Lasthenia glaberimma,Lasthenia glaberimma,Lasthenia glaberimma,n1,f1,TRUE,FALSE,TRUE,TRUE
Lathyrus angulatus,Lathyrus angulatus,Lathyrus angulatus,n0,f1,TRUE,FALSE,FALSE,TRUE
Lathyrus hirsutus,Lathyrus hirsutus,Lathyrus hirsutus,n0,f1,TRUE,FALSE,FALSE,TRUE
Lathyrus vestitus,Lathyrus vestitus,Lathyrus vestitus,n1,f1,TRUE,FALSE,TRUE,TRUE
Leontodon saxatilis (2020),Leontodon saxatilis,Leontodon saxatilis,n0,f1,TRUE,TRUE,FALSE,TRUE
Leontodon saxatilis ssp. long. (2020),Leontodon saxatilis ssp. longirostris,Leontodon saxatilis,n0,f1,TRUE,TRUE,FALSE,TRUE
Leontodon saxatilis ssp. longirostris,Leontodon saxatilis ssp. longirostris,Leontodon saxatilis,n0,f1,TRUE,TRUE,FALSE,TRUE
Leontodon saxatilis ssp. longirostris (2020),Leontodon saxatilis ssp. longirostris,Leontodon saxatilis,n0,f1,TRUE,TRUE,FALSE,TRUE
Leontodon saxatilis var. longirostris,Leontodon saxatilis ssp. longirostris,Leontodon saxatilis,n0,f1,TRUE,TRUE,FALSE,TRUE
Leptosiphon jepsonii,Leptosiphon jepsonii,Leptosiphon jepsonii,n1,f1,TRUE,FALSE,TRUE,TRUE
Leptosiphon jepsonii ,Leptosiphon jepsonii,Leptosiphon jepsonii,n1,f1,TRUE,FALSE,TRUE,TRUE
Leptosiphon jepsonii (CNPS 1B),Leptosiphon jepsonii,Leptosiphon jepsonii,n1,f1,TRUE,FALSE,TRUE,TRUE
Leptosiphon parviflorus,Leptosiphon parviflorus,Leptosiphon parviflorus,n1,f1,TRUE,FALSE,TRUE,TRUE
Limnanthes douglasii var. nivea,Limnanthes douglasii var. nivea,Limnanthes douglasii,n1,f1,TRUE,TRUE,TRUE,TRUE
Linum bienne,Linum bienne,Linum bienne,n0,f1,TRUE,FALSE,FALSE,TRUE
Lithophragma affine,Lithophragma affine,Lithophragma affine,n1,f1,TRUE,FALSE,TRUE,TRUE
Lithophramna  parviflora,Lithophragma parviflorum,Lithophragma parviflorum,n1,f1,TRUE,FALSE,TRUE,TRUE
Logfia gallica,Logfia gallica,Logfia gallica,n0,f1,TRUE,FALSE,FALSE,TRUE
Lotus corniculatus,Lotus corniculatus,Lotus corniculatus,n0,f1,TRUE,FALSE,FALSE,TRUE
Lupinus bicolor,Lupinus bicolor,Lupinus bicolor,n1,f1,TRUE,FALSE,TRUE,TRUE
Lupinus nanus,Lupinus nanus,Lupinus nanus,n1,f1,TRUE,FALSE,TRUE,TRUE
Lupinus nanus (2020),Lupinus nanus,Lupinus nanus,n1,f1,TRUE,FALSE,TRUE,TRUE
Lythrum hyssopifolia,Lythrum hyssopifolia,Lythrum hyssopifolia,n0,f1,TRUE,FALSE,FALSE,TRUE
Madia exigua,Madia exigua,Madia exigua,n1,f1,TRUE,FALSE,TRUE,TRUE
Madia gracilis,Madia gracilis,Madia gracilis,n1,f1,TRUE,FALSE,TRUE,TRUE
Madia sp.,Madia spp.,Madia spp.,n1,f1,FALSE,FALSE,TRUE,TRUE
Medicago polymorpha,Medicago polymorpha,Medicago polymorpha,n0,f1,TRUE,FALSE,FALSE,TRUE
Melica californica,Melica californica,Melica californica,n1,f0,TRUE,FALSE,TRUE,FALSE
