orig_plot,plot_type,plot_name,f_grazed,month,treatment
PERP3_E_4,p,p03,g0,4,Ungrazed
PERP3_E_5,p,p03,g0,5,Ungrazed
PERP4_E_4,p,p04,g0,4,Ungrazed
PERP4_E_5,p,p04,g0,5,Ungrazed
PERP5_E_4,p,p05,g0,4,Ungrazed
PERP5_E_5,p,p05,g0,5,Ungrazed
PERP6_E_4,p,p06,g0,4,Ungrazed
PERP6_E_5,p,p06,g0,5,Ungrazed
PERP7_E_4,p,p07,g0,4,Ungrazed
PERP7_E_5,p,p07,g0,5,Ungrazed
PERP8_E_4,p,p08,g0,4,Ungrazed
PERP8_E_5,p,p08,g0,5,Ungrazed
PERP9_E_4,p,p09,g0,4,Ungrazed
PERP9_E_5,p,p09,g0,5,Ungrazed
PERP10_E_4,p,p10,g0,4,Ungrazed
PERP10_E_5,p,p10,g0,5,Ungrazed
PERP16_E_5,p,p16,g0,5,Ungrazed
PERP17_E_4,p,p17,g0,4,Ungrazed
PERP17_E_5,p,p17,g0,5,Ungrazed
PERP18_E_4,p,p18,g0,4,Ungrazed
PERP18_E_5,p,p18,g0,5,Ungrazed
PERP19_E_4,p,p19,g0,4,Ungrazed
PERP19_E_5,p,p19,g0,5,Ungrazed
PERP20_E_4,p,p20,g0,4,Ungrazed
PERP20_E_5,p,p20,g0,5,Ungrazed
PERP21_E_4,p,p21,g0,4,Ungrazed
PERP21_E_5,p,p21,g0,5,Ungrazed
PERP22_E_4,p,p22,g0,4,Ungrazed
PERP22_E_5,p,p22,g0,5,Ungrazed
PERP23_E_4,p,p23,g0,4,Ungrazed
PERP23_E_5,p,p23,g0,5,Ungrazed
PERP24_E_4,p,p24,g0,4,Ungrazed
PERP24_E_5,p,p24,g0,5,Ungrazed
PERP25_E_4,p,p25,g0,4,Ungrazed
PERP25_E_5,p,p25,g0,5,Ungrazed
PERP26_E_5,p,p26,g0,5,Ungrazed
PERP27_E_4,p,p27,g0,4,Ungrazed
PERP27_E_5,p,p27,g0,5,Ungrazed
PERP28_E_4,p,p28,g0,4,Ungrazed
PERP28_E_5,p,p28,g0,5,Ungrazed
PERP29_E_4,p,p29,g0,4,Ungrazed
PERP29_E_5,p,p29,g0,5,Ungrazed
PERP30_E_4,p,p30,g0,4,Ungrazed
PERP30_E_5,p,p30,g0,5,Ungrazed
PERP31_E_4,p,p31,g0,4,Ungrazed
PERP31_E_5,p,p31,g0,5,Ungrazed
PERP32_E_4,p,p32,g0,4,Ungrazed
PERP32_E_5,p,p32,g0,5,Ungrazed
PERP33_E_4,p,p33,g0,4,Ungrazed
PERP33_E_5,p,p33,g0,5,Ungrazed
PERP34_E_4,p,p34,g0,4,Ungrazed
PERP34_E_5,p,p34,g0,5,Ungrazed
PERP35_E_4,p,p35,g0,4,Ungrazed
PERP35_E_5,p,p35,g0,5,Ungrazed
PERP36_E_4,p,p36,g0,4,Ungrazed
PERP36_E_5,p,p36,g0,5,Ungrazed
PERP37_E_4,p,p37,g0,4,Ungrazed
PERP37_E_5,p,p37,g0,5,Ungrazed
PERP38_E_4,p,p38,g0,4,Ungrazed
PERP38_E_5,p,p38,g0,5,Ungrazed
PERP39_E_4,p,p39,g0,4,Ungrazed
PERP39_E_5,p,p39,g0,5,Ungrazed
PERP40_E_4,p,p40,g0,4,Ungrazed
PERP40_E_5,p,p40,g0,5,Ungrazed
PERP41_E_4,p,p41,g0,4,Ungrazed
PERP41_E_5,p,p41,g0,5,Ungrazed
PERP42_E_4,p,p42,g0,4,Ungrazed
PERP42_E_5,p,p42,g0,5,Ungrazed
PERP43_E_4,p,p43,g0,4,Ungrazed
PERP43_E_5,p,p43,g0,5,Ungrazed
PERP44_E_4,p,p44,g0,4,Ungrazed
PERP44_E_5,p,p44,g0,5,Ungrazed
PERP45_E_4,p,p45,g0,4,Ungrazed
PERP45_E_5,p,p45,g0,5,Ungrazed
PERP46_E_4,p,p46,g0,4,Ungrazed
PERP46_E_5,p,p46,g0,5,Ungrazed
PERP47_E_4,p,p47,g0,4,Ungrazed
PERP47_E_5,p,p47,g0,5,Ungrazed
PERP48_E_4,p,p48,g0,4,Ungrazed
PERP48_E_5,p,p48,g0,5,Ungrazed
406G_4,w,406,g1,4,Grazed
406G_5,w,406,g1,5,Grazed
408G_4,w,408,g1,4,Grazed
408G_5,w,408,g1,5,Grazed
409G_4,w,409,g1,4,Grazed
409G_5,w,409,g1,5,Grazed
410G_4,w,410,g1,4,Grazed
410G_5,w,410,g1,5,Grazed
411G_4,w,411,g1,4,Grazed
411G_5,w,411,g1,5,Grazed
412G_4,w,412,g1,4,Grazed
412G_5,w,412,g1,5,Grazed
413G_4,w,413,g1,4,Grazed
413G_5,w,413,g1,5,Grazed
415G_4,w,415,g1,4,Grazed
415G_5,w,415,g1,5,Grazed
416G_4,w,416,g1,4,Grazed
416G_5,w,416,g1,5,Grazed
417G_4,w,417,g1,4,Grazed
417G_5,w,417,g1,5,Grazed
418G_4,w,418,g1,4,Grazed
418G_5,w,418,g1,5,Grazed
419G_4,w,419,g1,4,Grazed
419G_5,w,419,g1,5,Grazed
421G_4,w,421,g1,4,Grazed
421G_5,w,421,g1,5,Grazed
422G_4,w,422,g1,4,Grazed
422G_5,w,422,g1,5,Grazed
422_G_4,w,422,g1,4,Grazed
422_G_5,w,422,g1,5,Grazed
423G_4,w,423,g1,4,Grazed
423G_5,w,423,g1,5,Grazed
425_G_4,w,425,g1,4,Grazed
425_G_5,w,425,g1,5,Grazed
425G_4,w,425,g1,4,Grazed
425G_5,w,425,g1,5,Grazed
426_G_4,w,426,g1,4,Grazed
426_G_5,w,426,g1,5,Grazed
426G_4,w,426,g1,4,Grazed
426G_5,w,426,g1,5,Grazed
427G_4,w,427,g1,4,Grazed
427G_5,w,427,g1,5,Grazed
428G_5,w,428,g1,5,Grazed
428G_4,w,428,g1,4,Grazed
429_G_4,w,429,g1,4,Grazed
429_G_5,w,429,g1,5,Grazed
429G_4,w,429,g1,4,Grazed
429G_5,w,429,g1,5,Grazed
430_G_4,w,430,g1,4,Grazed
430_G_5,w,430,g1,5,Grazed
431_G_4,w,431,g1,4,Grazed
431_G_5,w,431,g1,5,Grazed
431G_4,w,431,g1,4,Grazed
431G_5,w,431,g1,5,Grazed
432G_4,w,432,g1,4,Grazed
432G_5,w,432,g1,5,Grazed
433G_4,w,433,g1,4,Grazed
434G_4,w,434,g1,4,Grazed
434G_5,w,434,g1,5,Grazed
435G_4,w,435,g1,4,Grazed
435G_5,w,435,g1,5,Grazed
436G_4,w,436,g1,4,Grazed
436G_5,w,436,g1,5,Grazed
437G_5,w,437,g1,5,Grazed
437G_4,w,437,g1,4,Grazed
438G_4,w,438,g1,4,Grazed
438G_5,w,438,g1,5,Grazed
439G_4,w,439,g1,4,Grazed
439G_5,w,439,g1,5,Grazed
442G_4,w,442,g1,4,Grazed
442G_5,w,442,g1,5,Grazed
443_G_4,w,443,g1,4,Grazed
443_G_5,w,443,g1,5,Grazed
443G_4,w,443,g1,4,Grazed
443G_5,w,443,g1,5,Grazed
444G_4,w,444,g1,4,Grazed
444G_5,w,444,g1,5,Grazed
447G_4,w,447,g1,4,Grazed
